link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection,label,gender,product_category,category
/en/product/almond-double-cotton-muslin-blouse-women-s-collection-peach-poudre-organic-271524,https://static.smallable.com/1436337-648x648q80/.jpg,almond double cotton muslin blouse - women's collection ,peach,poudre organic,1,0,75.0,75.0,ss,top,w,long sleeve blouses,top
/en/product/tencel-lite-t-shirt-dusty-pink-organic-basics-220748,https://static.smallable.com/1217107-648x648q80/tencel-lite-t-shirt.jpg,tencel lite t-shirt ,dusty pink,organic basics,1,0,55.0,55.0,ss,top,w,short sleeve t-shirts,top
/en/product/ayin-opal-necklace-pink-bohemian-rhapsodie-276237,https://static.smallable.com/1463453-648x648q80/.jpg,ayin opal necklace,pink,bohemian rhapsodie paris,0,0,195.0,195.0,ss,jewelry,w,necklaces,jewelry
/en/product/ayin-pink-opal-earring-pink-bohemian-rhapsodie-276245,https://static.smallable.com/1463475-648x648q80/.jpg,ayin pink opal earring,pink,bohemian rhapsodie paris,0,0,95.0,95.0,ss,jewelry,w,earrings,jewelry
/en/product/tsikis-x-alma-deia-exclusive-marcia-earrings-orange-alma-deia-314801,https://static.smallable.com/1642047-648x648q80/.jpg,tsikis x alma deia exclusive - marcia earrings,orange,alma deia,0,1,124.0,155.0,ss,jewelry,w,earrings,jewelry
/en/product/check-fanny-pack-khaki-rose-in-april-316431,https://static.smallable.com/1692854-648x648q80/.jpg,check fanny pack,khaki,rose in april,1,0,45.0,45.0,ss,bags,w,fanny packs,bag
/en/product/amma-earrings-green-5-octobre-228168,https://static.smallable.com/1258743-648x648q80/amma-earrings.jpg,amma earrings ,green,5 octobre,0,0,260.0,260.0,ss,jewelry,w,earrings,jewelry
/en/product/bangle-earrings-midnight-blue-bangle-up-154645,https://static.smallable.com/990534-648x648q80/bangle-earrings.jpg,bangle earrings,midnight blue,bangle up,1,0,60.0,60.0,ss,accessories,w,earrings,jewelry
/en/product/sacha-turquoise-necklace-turquoise-gachon-pothier-275394,https://static.smallable.com/1451143-648x648q80/.jpg,sacha turquoise necklace,turquoise,gachon pothier,1,0,190.0,190.0,ss,jewelry,w,necklaces,jewelry
/en/product/check-fanny-pack-caramel-rose-in-april-316430,https://static.smallable.com/1670666-648x648q80/.jpg,check fanny pack,caramel,rose in april,1,0,45.0,45.0,ss,bags,w,fanny packs,bag
/en/product/collaboration-soeur-x-leandra-cohen-chemise-west-side-ecru-soeur-322638,https://static.smallable.com/1693977-648x648q80/.jpg,collaboration soeur x leandra cohen - chemise west side,ecru,soeur,0,0,165.0,165.0,ss,top,w,long sleeve shirts,top
/en/product/pointelle-long-organic-cotton-cami-top-white-cou-cou-intimates-301471,https://static.smallable.com/1613554-648x648q80/.jpg,pointelle long organic cotton cami top,white,cou cou intimates,1,0,55.0,55.0,ss,top,w,tank tops,top
/en/product/beach-bag-yellow-bather-319658,https://static.smallable.com/1682767-648x648q80/.jpg,beach bag,yellow,bather,0,0,75.0,75.0,ss,bags,w,tote bags,bag
/en/product/flower-shopping-bag-multicoloured-dragon-diffusion-305113,https://static.smallable.com/1661859-648x648q80/.jpg,flower shopping bag,multicoloured,dragon diffusion,1,0,299.0,299.0,ss,bags,w,handbags,bag
/en/product/t-shirt-plisse-femme-coton-bio-black-smallable-basics-315881,https://static.smallable.com/1717330-648x648q80/.jpg,t-shirt plisse femme coton bio,black,smallable basics,1,0,45.0,45.0,ss,top,w,short sleeve t-shirts,top
