link,img,product,color,brand,greenable,discounted,disc_price,orig_price
/en/product/remastered-t-shirt-pale-yellow-edmmond-studios-305811,https://static.smallable.com/1611520-648x648q80/.jpg,remastered t-shirt,pale yellow,edmmond studios,1,1,29.4,49.0
/en/product/linen-short-sleeve-shirt-pale-yellow-edmmond-studios-305799,https://static.smallable.com/1611505-648x648q80/.jpg,linen short sleeve shirt,pale yellow,edmmond studios,0,1,65.4,109.0
/en/product/shelly-t-shirt-grey-blue-edmmond-studios-305812,https://static.smallable.com/1611521-648x648q80/.jpg,shelly t-shirt,grey blue,edmmond studios,1,1,29.4,49.0
/en/product/terry-cloth-short-sleeve-shirt-grey-blue-edmmond-studios-305800,https://static.smallable.com/1612413-648x648q80/.jpg,terry cloth short sleeve shirt,grey blue,edmmond studios,0,1,69.0,115.0
/en/product/light-terry-polo-grey-blue-hartford-305670,https://static.smallable.com/1611499-648x648q80/.jpg,light terry polo,grey blue,hartford,0,1,63.0,105.0
/en/product/le-vrai-3-0-claude-reflective-windbreaker-khaki-k-way-309682,https://static.smallable.com/1615116-648x648q80/.jpg,le vrai 3.0 claude reflective windbreaker,khaki,k-way,0,0,149.0,149.0
/en/product/tanker-linen-trousers-khaki-hartford-305665,https://static.smallable.com/1611497-648x648q80/.jpg,tanker linen trousers,khaki,hartford,0,1,95.4,159.0
/en/product/terry-shorts-navy-blue-edmmond-studios-305824,https://static.smallable.com/1611537-648x648q80/.jpg,terry shorts,navy blue,edmmond studios,0,1,57.0,95.0
/en/product/duck-patch-zip-hoodie-navy-blue-edmmond-studios-305820,https://static.smallable.com/1611535-648x648q80/.jpg,duck patch zip hoodie,navy blue,edmmond studios,1,1,69.0,115.0
/en/product/terry-cloth-polo-shirt-navy-blue-edmmond-studios-305807,https://static.smallable.com/1611513-648x648q80/.jpg,terry cloth polo shirt,navy blue,edmmond studios,0,1,53.4,89.0
/en/product/faran-striped-t-shirt-blue-edmmond-studios-305813,https://static.smallable.com/1611523-648x648q80/.jpg,faran striped t-shirt,blue,edmmond studios,1,1,35.4,59.0
/en/product/plain-linen-shirt-blue-edmmond-studios-305796,https://static.smallable.com/1611503-648x648q80/.jpg,plain linen shirt,blue,edmmond studios,0,1,63.0,105.0
/en/product/swim-trunks-men-s-collection-orange-oas-company-272822,https://static.smallable.com/1405190-648x648q80/.jpg,swim trunks - men’s collection ,orange,oas,0,0,99.0,99.0
/en/product/swim-trunks-men-s-collection-navy-blue-oas-company-272823,https://static.smallable.com/1405195-648x648q80/.jpg,swim trunks - men’s collection ,navy blue,oas,0,0,99.0,99.0
/en/product/3521-jerry-shorts-camel-nn07-305768,https://static.smallable.com/1614433-648x648q80/.jpg,3521 jerry shorts,camel,nn07,0,1,71.4,119.0
/en/product/gregor-1447-organic-cotton-shorts-camel-nn07-305764,https://static.smallable.com/1614427-648x648q80/.jpg,gregor 1447 organic cotton shorts,camel,nn07,1,1,71.4,119.0
/en/product/gregor-1447-organic-cotton-shorts-black-nn07-305762,https://static.smallable.com/1614421-648x648q80/.jpg,gregor 1447 organic cotton shorts,black,nn07,1,1,71.4,119.0
/en/product/danny-6429-jumper-ecru-nn07-305761,https://static.smallable.com/1646827-648x648q80/.jpg,danny 6429 jumper,ecru,nn07,0,1,90.0,150.0
/en/product/gregor-1447-organic-cotton-shorts-oatmeal-nn07-305763,https://static.smallable.com/1670379-648x648q80/.jpg,gregor 1447 organic cotton shorts,oatmeal,nn07,1,1,71.4,119.0
/en/product/verve-8245-jacket-navy-blue-nn07-305605,https://static.smallable.com/1614476-648x648q80/.jpg,verve 8245 jacket,navy blue,nn07,0,1,119.4,199.0
/en/product/gregor-1447-organic-cotton-shorts-indigo-blue-nn07-305765,https://static.smallable.com/1614430-648x648q80/.jpg,gregor 1447 organic cotton shorts,indigo blue,nn07,1,1,71.4,119.0
/en/product/antoine-polo-caramel-a-p-c-299058,https://static.smallable.com/1581946-648x648q80/.jpg,antoine polo,caramel,a.p.c.,0,1,83.4,139.0
/en/product/fred-polo-beige-a-p-c-299053,https://static.smallable.com/1581935-648x648q80/.jpg,fred polo,beige,a.p.c.,0,1,111.0,185.0
/en/product/kerlouan-jacket-beige-a-p-c-299050,https://static.smallable.com/1678433-648x648q80/.jpg,kerlouan jacket,beige,a.p.c.,0,1,185.4,309.0
/en/product/martin-jeans-ecru-a-p-c-299056,https://static.smallable.com/1581942-648x648q80/.jpg,martin jeans,ecru,a.p.c.,0,1,119.4,199.0
/en/product/vacation-h-t-shirt-white-a-p-c-299044,https://static.smallable.com/1581908-648x648q80/.jpg,vacation h t-shirt,white,a.p.c.,1,1,59.4,99.0
/en/product/gregoire-new-polo-navy-blue-a-p-c-299054,https://static.smallable.com/1581939-648x648q80/.jpg,gregoire new polo,navy blue,a.p.c.,0,1,97.5,195.0
/en/product/l-loyd-short-sleeve-shirt-electric-blue-a-p-c-299061,https://static.smallable.com/1581957-648x648q80/.jpg,lloyd short sleeve shirt,electric blue,a.p.c.,0,1,94.5,189.0
/en/product/gallo-belt-brown-de-las-pampas-304263,https://static.smallable.com/1607118-648x648q80/.jpg,gallo belt,brown,de las pampas,1,1,49.5,99.0
/en/product/asado-belt-brown-de-las-pampas-304257,https://static.smallable.com/1607978-648x648q80/.jpg,asado belt,brown,de las pampas,1,1,49.5,99.0
/en/product/lomo-belt-beige-de-las-pampas-304261,https://static.smallable.com/1607995-648x648q80/.jpg,lomo belt,beige,de las pampas,1,1,59.4,99.0
/en/product/gallo-belt-white-de-las-pampas-304264,https://static.smallable.com/1607120-648x648q80/.jpg,gallo belt,white,de las pampas,1,1,49.5,99.0
/en/product/flecha-belt-pink-de-las-pampas-304260,https://static.smallable.com/1607990-648x648q80/.jpg,flecha belt,pink,de las pampas,1,1,52.5,105.0
