link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection
/en/product/watch-ga-2100-charcoal-grey-g-shock-307198,https://static.smallable.com/1600651-648x648q80/.jpg,watch ga-2100,charcoal grey,g-shock,0,0,99.0,99.0,ss
/en/product/watch-grey-g-shock-307204,https://static.smallable.com/1600677-648x648q80/.jpg,watch,grey,g-shock,0,0,159.0,159.0,ss
/en/product/g-squad-gba-watch-beige-g-shock-307202,https://static.smallable.com/1600669-648x648q80/.jpg,g-squad gba watch,beige,g-shock,0,0,129.0,129.0,ss
/en/product/watch-ga-2100-transparent-g-shock-307196,https://static.smallable.com/1600640-648x648q80/.jpg,watch ga-2100,transparent,g-shock,0,0,109.0,109.0,ss
/en/product/watch-36mm-silver-casio-vintage-307210,https://static.smallable.com/1602350-648x648q80/.jpg,watch 36mm,silver,casio vintage,0,0,39.0,39.0,ss
/en/product/watch-36mm-blue-casio-vintage-307211,https://static.smallable.com/1602353-648x648q80/.jpg,watch 36mm,blue,casio vintage,0,0,49.0,49.0,ss
/en/product/5600-watch-blue-g-shock-307201,https://static.smallable.com/1600667-648x648q80/.jpg,5600 watch,blue,g-shock,0,0,139.0,139.0,ss
/en/product/sunflare-t-shirt-black-deux-ex-machina-305908,https://static.smallable.com/1680750-648x648q80/.jpg,sunflare t-shirt,black,deus ex machina,1,1,29.4,49.0,ss
/en/product/arte-logo-socks-black-arte-302376,https://static.smallable.com/1642907-648x648q80/.jpg,arte logo socks,black,arte antwerp,0,0,15.0,15.0,ss
/en/product/linen-cap-pistachio-green-varsity-headwear-309716,https://static.smallable.com/1618788-648x648q80/.jpg,linen cap,pistachio green,varsity headwear,0,1,52.8,88.0,ss
/en/product/hannes-logo-hoodie-white-arte-302357,https://static.smallable.com/1642837-648x648q80/.jpg,hannes logo hoodie,white,arte antwerp,0,1,71.4,119.0,ss
/en/product/true-grit-shirt-white-deux-ex-machina-305894,https://static.smallable.com/1680690-648x648q80/.jpg,true grit shirt,white,deus ex machina,0,1,77.4,129.0,ss
/en/product/super-stitious-t-shirt-white-deux-ex-machina-305890,https://static.smallable.com/1680665-648x648q80/.jpg,super stitious t-shirt,white,deus ex machina,1,1,41.4,69.0,ss
/en/product/linen-cap-mustard-varsity-headwear-309715,https://static.smallable.com/1618784-648x648q80/.jpg,linen cap,mustard,varsity headwear,0,1,52.8,88.0,ss
