link,img,product,color,brand,greenable,discounted,disc_price,orig_price
/en/product/sadie-bikini-bottoms-black-sea-ny-296224,https://static.smallable.com/1575496-648x648q80/.jpg,sadie bikini bottoms,black,sea ny,0,1,129.6,216.0
/en/product/custine-xl-water-resistant-coated-leather-belt-bag-black-rive-droite-295685,https://static.smallable.com/1562089-648x648q80/.jpg,custine xl water resistant coated leather belt bag,black,rivedroite,1,0,80.0,80.0
/en/product/mini-half-moon-smooth-leather-bag-capuccino-a-p-c-300427,https://static.smallable.com/1575679-648x648q80/.jpg,mini half moon smooth leather bag,capuccino,a.p.c.,1,0,360.0,360.0
/en/product/boden-cotton-poplin-dress-mint-green-xirena-306763,https://static.smallable.com/1646913-648x648q80/.jpg,boden cotton poplin dress,mint green,xirena,0,1,242.2,346.0
/en/product/draped-bikini-bottom-magenta-alma-deia-301963,https://static.smallable.com/1692774-648x648q80/.jpg,draped bikini bottom,magenta,alma deia,0,1,41.3,59.0
/en/product/remi-dress-rust-ulla-johnson-306657,https://static.smallable.com/1655993-648x648q80/.jpg,remi dress,rust,ulla johnson,0,1,330.0,550.0
/en/product/ayin-lapis-lazuli-necklace-blue-bohemian-rhapsodie-259567,https://static.smallable.com/1373593-648x648q80/.jpg,ayin lapis lazuli necklace,blue,bohemian rhapsodie paris,0,0,195.0,195.0
/en/product/03-check-linen-set-taupe-brown-deiji-studios-310997,https://static.smallable.com/1623815-648x648q80/.jpg,03 check linen set,taupe brown,deiji studios,1,0,192.0,192.0
/en/product/bolla-maxi-bag-chocolate-nido-274961,https://static.smallable.com/1425113-648x648q80/.jpg,bolla maxi bag,chocolate,nido,1,0,420.0,420.0
/en/product/wallet-brown-studio-noos-245178,https://static.smallable.com/1296545-648x648q80/.jpg,wallet,brown,studio noos,1,0,20.0,20.0
/en/product/serina-cotton-gauze-skirt-black-xirena-306819,https://static.smallable.com/1673394-648x648q80/.jpg,serina cotton gauze skirt,black,xirena,0,1,207.9,297.0
/en/product/daily-triangle-bra-black-kye-intimates-272327,https://static.smallable.com/1459737-648x648q80/.jpg,daily triangle bra,black,kye intimates,0,0,85.0,85.0
/en/product/scabiosa-earrings-black-apres-ski-214173,https://static.smallable.com/1256682-648x648q80/scabiosa-earrings.jpg,scabiosa earrings,black,après ski,0,0,77.0,77.0
/en/product/heart-belt-bag-sand-rose-in-april-277494,https://static.smallable.com/1452262-648x648q80/.jpg,heart belt bag,sand,rose in april,1,0,45.0,45.0
/en/product/lumi-adjustable-bangle-white-bangle-up-253374,https://static.smallable.com/1369280-648x648q80/.jpg,lumi adjustable bangle,white,bangle up,0,0,55.0,55.0
/en/product/mini-hoop-earrings-white-bangle-up-170553,https://static.smallable.com/1058213-648x648q80/mini-hoop-earrings.jpg,mini hoop earrings,white,bangle up,1,0,45.0,45.0
/en/product/adjustable-bangle-white-bangle-up-148415,https://static.smallable.com/946456-648x648q80/adjustable-bangle.jpg,adjustable bangle ,white,bangle up,1,0,45.0,45.0
/en/product/thyme-nightgown-women-s-collection-peach-faune-276605,https://static.smallable.com/1443554-648x648q80/.jpg,thyme nightgown - women’s collection ,peach,faune,0,0,187.0,187.0
/en/product/solaro-embroidered-vest-ecru-sessun-302221,https://static.smallable.com/1669637-648x648q80/.jpg,solaro embroidered vest,ecru,sessùn,0,0,165.0,165.0
/en/product/daily-triangle-bra-beige-kye-intimates-272329,https://static.smallable.com/1459748-648x648q80/.jpg,daily triangle bra,beige,kye intimates,0,0,85.0,85.0
/en/product/jane-hairclip-gold-louise-damas-297126,https://static.smallable.com/1568025-648x648q80/.jpg,jane hairclip,gold,louise damas,1,0,85.0,85.0
/en/product/comporta-striped-pants-ecru-masscob-303003,https://static.smallable.com/1609681-648x648q80/.jpg,comporta striped pants,ecru,masscob,0,0,276.0,276.0
/en/product/lucy-recycled-polyamide-swimsuit-women-s-collection-red-canopea-276772,https://static.smallable.com/1446550-648x648q80/.jpg,lucy recycled polyamide swimsuit - women’s collection,red,canopea,1,0,85.0,85.0
/en/product/maya-denim-shorts-women-s-collection-denim-blue-marlot-paris-314016,https://static.smallable.com/1683189-648x648q80/.jpg,maya denim shorts - women’s collection ,denim blue,marlot paris,1,0,85.0,85.0
/en/product/laweville-dress-navy-blue-american-vintage-307736,https://static.smallable.com/1647919-648x648q80/.jpg,laweville dress,navy blue,american vintage,0,1,69.0,115.0
/en/product/leopard-print-bumbag-leopard-rose-in-april-316429,https://static.smallable.com/1692956-648x648q80/.jpg,leopard print bumbag,leopard,rose in april,1,0,45.0,45.0
/en/product/timon-pants-prussian-blue-soeur-302519,https://static.smallable.com/1675739-648x648q80/.jpg,timon pants,prussian blue,soeur,0,1,157.5,225.0
/en/product/finette-office-pencil-case-caviar-la-cerise-sur-le-gateau-220105,https://static.smallable.com/1215983-648x648q80/finette-office-pencil-case.jpg,finette office pencil case,caviar,la cerise sur le gâteau,1,0,18.0,18.0
/en/product/finette-sleep-mask-caviar-la-cerise-sur-le-gateau-169596,https://static.smallable.com/1038134-648x648q80/finette-sleep-mask.jpg,finette sleep mask,caviar,la cerise sur le gâteau,1,0,16.0,16.0
/en/product/silk-eye-mask-absinthe-nonchalance-248563,https://static.smallable.com/1352357-648x648q80/.jpg,silk eye mask,absinthe,nonchalance,1,0,55.0,55.0
/en/product/ayin-fluorite-necklace-burgundy-bohemian-rhapsodie-259566,https://static.smallable.com/1373592-648x648q80/.jpg,ayin fluorite necklace,burgundy,bohemian rhapsodie paris,0,0,195.0,195.0
/en/product/the-amore-ring-gold-alighieri-295513,https://static.smallable.com/1585060-648x648q80/.jpg,the amore ring,gold,alighieri,1,0,335.0,335.0
/en/product/georgia-fine-ring-gold-louise-damas-246956,https://static.smallable.com/1567982-648x648q80/.jpg,georgia fine ring,gold,louise damas,0,0,65.0,65.0
/en/product/bracelet-gold-5-octobre-228172,https://static.smallable.com/1258753-648x648q80/bracelet.jpg,bracelet,gold,5 octobre,0,0,110.0,110.0
/en/product/lily-bracelet-gold-bangle-up-170544,https://static.smallable.com/1058186-648x648q80/lily-bracelet.jpg,lily bracelet,gold,bangle up,0,0,40.0,40.0
/en/product/scout-cotton-muslin-shirt-storm-blue-xirena-306769,https://static.smallable.com/1673372-648x648q80/.jpg,scout cotton muslin shirt,storm blue,xirena,0,1,163.1,233.0
